dummy	order	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V1_V2_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Q_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V1_V3_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_V3_V4_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_I_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Q_4	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_Illumina_WGS_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_I_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_ONT_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_I_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_MN_4	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_1	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_2	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_3	Toti_PacBio_V1_V9_minitax_BestAln_all_NCBI_genomes_Z_4
TRUE		331	309	328	361	532	455	661	350	1236	981	1521	1591	3616	313	3455	31	6135	4346	8	10305	1672	1767	780	1990	1087	6481	273	874	711	475	641	880	1141	871	608	1775	1614	1600	1853	156033	277171	188249	142683	250939	154620	132791	135797	3007	2262	2353	2608	159776	114096	99558	137304	7472	3111	14015	9966	78	19322	9220	6869	8174	3908	131765	4092	276	372	195	532	119	296	377	768	3707	1357	1159	1191
TRUE	Bacillales	146	45	128	99	153	47	103	65	42	18	38	55	1096	47	1528	8	1657	547	1	1692	572	614	461	128	106	896	5	501	297	310	326	469	402	364	297	177	223	189	289	4926	8802	5977	4522	7830	5417	4197	4142	2699	2116	3042	3650	6009	4801	4480	3652	125	27	255	118	0	322	91	135	10	17	305	13	0	1	5	6	0	3	0	10	1	3	1	2
TRUE	Bacteroidales	1708	1426	1721	1437	1305	1745	2584	1206	3135	1688	3510	3101	6675	428	6930	17	4721	10253	7	5561	46209	68230	50216	5480	1271	17503	42	3183	3308	2466	2407	1917	5698	3793	2127	6266	4848	5391	5673	117025	345228	149139	103005	91118	248814	105749	65495	644232	606758	803729	566484	600279	208485	258705	116941	1285	502	5178	3929	12	8839	4034	2549	3975	620	42162	733	193	408	218	587	67	457	530	1070	10153	2226	3086	2061
TRUE	Bifidobacteriales	367	166	359	256	849	275	623	477	391	535	810	676	358	23	416	10	664	321	0	2963	1043	1158	535	33	19	1499	58	903	563	598	514	1944	1191	1205	1353	779	1659	1613	1331	19150	35914	26221	14626	97294	33267	30988	39662	225	165	183	294	38698	50191	39991	20920	1	0	2	2	1	4	2	1	0	0	12	1	267	118	364	405	476	531	696	2197	546	619	761	380
TRUE	Burkholderiales	410	461	451	366	352	326	533	181	1037	522	991	812	312	43	360	3	271	565	0	298	12557	6297	1126	732	243	433	0	184	213	121	152	168	218	176	100	484	349	355	379	1762	4292	2485	1608	5071	2796	2090	2109	1729	1511	1776	1883	3865	2502	2474	1995	71	59	345	157	2	440	199	76	288	71	3839	81	11	47	11	39	3	15	26	39	911	201	262	161
TRUE	Campylobacterales	17	30	20	20	12	39	13	9	63	28	46	195	78	5	89	1	69	113	0	46	250	241	265	34	17	136	1	69	105	39	46	19	126	33	16	214	90	168	572	3820	15800	4333	3126	2374	7400	1892	987	16163	10718	10080	13690	12973	4487	7351	12510	99	114	220	200	0	994	223	72	560	114	9863	562	1	21	8	15	1	5	4	9	171	27	43	115
TRUE	Coriobacteriales	325	115	272	116	465	133	310	205	252	140	322	238	446	19	623	2	1093	414	0	1130	72	209	125	210	105	272	6	1	2	1	0	0	0	2	1	1	2	2	0	4483	9677	7031	4183	12479	3991	4364	5263	122	52	71	179	7072	4905	4312	2578	602	218	5567	4492	6	907	980	2211	319	86	12229	199	1367	956	1524	2357	806	740	1185	4925	4283	1675	2089	1613
TRUE	Eggerthellales	1624	1181	1811	1447	2618	1135	2175	1879	1437	1495	2325	2466	16781	1070	8021	27	29678	12700	15	9406	1870	9064	1810	2798	1768	3358	42	45	27	42	25	47	38	41	39	43	54	53	39	3244	7037	4859	3090	9518	3225	3226	3918	72	52	56	130	5306	3542	3168	1954	598	200	5290	4215	6	878	886	1967	298	78	11104	178	68	52	47	108	80	69	103	258	170	81	82	49
TRUE	Erysipelotrichales	4967	2843	3579	4314	5064	2281	4414	3297	1498	939	2262	2562	19040	636	12362	50	25386	11264	6	18939	4499	5429	2226	1201	590	4129	41	5623	3060	2523	3420	4903	3783	3363	2742	1659	1425	1948	2692	96805	136323	76549	85207	102228	50622	43652	43264	12592	4999	8129	15632	26260	17092	24459	16832	8438	1847	10190	8767	67	10263	4758	5609	475	221	17783	406	2440	1721	1145	4309	608	741	1278	3483	1462	540	606	802
TRUE	Eubacteriales	3529	1814	2910	2746	4331	3320	5191	3265	3148	3496	5618	5986	68625	4921	34604	288	94067	75276	85	47828	32642	23148	5573	6618	6168	19590	505	4977	2980	2585	3372	4399	5393	4368	3348	2721	3937	3394	5006	70631	129674	76859	62495	139958	115641	76576	70463	32734	15046	30225	58130	129430	133494	119756	85548	132360	30385	198271	150556	1006	200242	113925	85862	10208	5917	257795	7543	10452	7279	6019	17340	2321	5253	7600	19258	6930	3097	3464	3434
TRUE	Flavobacteriales	2	0	3	0	3	1	5	6	6	3	2	4	1006	62	3337	8	3943	738	0	4405	3367	7623	4916	198	100	3441	31	5122	3778	3538	3670	6899	5367	4588	3699	4946	5560	5616	5728	1512	2909	1874	1409	2194	1538	1293	1167	1692	1384	1537	1400	1752	1290	1283	962	9	1	17	12	1	10	7	12	1	0	23	0	0	0	1	0	0	0	0	0	0	0	0	0
TRUE	Fusobacteriales	1224	1247	1487	1233	1156	1179	2190	807	2682	1846	3467	2855	4357	429	5709	14	5018	5573	0	5941	79766	80041	23133	3249	2601	16099	71	3210	3587	2804	2629	2649	4927	3984	2017	5832	6647	6363	6278	11250	37883	19243	12261	11853	17125	11853	6688	53823	47430	50775	29379	18290	16602	21536	6066	1336	904	12998	8010	9	6507	4353	3630	3778	1060	115727	1933	116	326	212	472	41	193	250	480	3195	1352	1908	912
TRUE	Lachnospirales	9287	5751	7911	8291	10561	6354	11204	7709	5710	6279	7989	12852	84577	7637	71832	835	135938	68492	105	166258	5679	5251	1639	10224	13889	38110	2395	9093	5932	5053	6413	9561	8875	7510	6261	4403	7102	5284	10093	432401	746674	495641	378735	792099	420839	355430	369223	12839	7005	12864	14012	573682	621021	552972	478779	221356	59291	382932	251954	2538	363638	201968	192144	13137	22061	362483	26664	8419	7169	5644	14028	3431	5615	8295	21701	5763	8644	3513	7367
TRUE	Lactobacillales	336	150	297	287	369	97	256	182	74	46	103	115	533	28	1565	7	1562	322	0	1305	318	308	395	190	121	759	1	46	22	21	22	52	43	39	29	18	21	27	35	3138	5299	3442	2737	4579	3070	2396	2358	826	906	882	769	3546	3254	2572	2648	106	21	235	127	1	362	199	217	13	19	523	37	3	6	6	9	1	8	9	23	4	12	1	13
TRUE	Lysobacterales	948	1259	570	1419	1047	1395	1037	1497	134	256	267	645	169	5	36	1	64	58	0	29	58	58	21	12	5	20	1	1	2	0	3	1	1	2	1	1	1	1	3	485	1193	681	440	1514	673	583	592	160	104	188	319	865	669	601	518	0	0	2	0	0	0	2	0	0	0	7	3	0	0	0	0	0	0	0	0	1	0	0	1
TRUE	Micrococcales	43	11	30	21	62	21	62	23	36	16	29	67	644	41	716	4	1345	563	2	863	400	430	211	90	43	777	5	6	10	4	6	12	5	17	4	5	5	6	23	2253	4924	3160	2065	6620	2764	3126	2686	313	312	319	583	3609	2652	2380	3140	25	6	25	22	0	39	29	14	4	1	79	2	2	1	0	0	1	0	2	1	4	1	0	3
TRUE	Nitrosomonadales	20	23	36	17	11	9	31	10	109	41	85	76	99	13	215	0	119	188	0	203	3348	4839	1413	99	27	658	3	1	1	0	2	0	1	2	1	4	3	6	2	107	223	168	105	235	103	94	111	142	129	112	122	244	135	141	92	0	0	1	1	0	1	2	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
TRUE	Peptostreptococcales	7066	3425	6010	5666	7295	4501	8693	4672	2110	1456	2158	3072	32156	2138	38014	171	46740	20812	27	38493	3180	2174	656	1568	1011	5617	69	12214	7024	6178	7977	10690	11434	9181	6982	2741	2369	2370	3729	233282	331035	254886	210952	260544	182186	155002	136688	2656	1995	2666	1607	30298	20763	20254	15907	100025	20093	156756	112173	669	144023	79753	63235	3724	1716	59912	2540	238	218	102	497	74	230	285	860	333	215	51	148
TRUE	Rhodobacterales	244	105	237	144	388	101	301	158	220	144	296	246	1432	101	9801	42	9818	723	4	43629	378	1184	1888	284	166	6964	242	0	2	0	1	0	3	7	2	1	0	2	8	657	1627	944	605	2080	886	836	764	238	161	314	344	1270	950	851	754	0	0	1	0	0	6	16	3	1	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0
TRUE	Selenomonadales	39	59	42	23	64	99	115	49	59	114	57	55	360	48	457	3	554	875	0	840	4317	5179	2459	119	211	344	3	83	237	92	81	156	457	310	167	217	498	144	211	3639	19479	6406	3420	7500	14064	7097	5575	56840	49732	88354	37060	5455	10043	3580	1939	286	577	1746	600	7	5482	2281	1391	508	525	10007	159	15	78	25	35	11	71	95	168	234	214	80	52
