species	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__EMU_EMUdb_I1_D6300	V1_V9_ONT__EMU_EMUdb_I2_D6300	V1_V9_ONT__EMU_EMUdb_I3_D6300	V1_V9_ONT__EMU_EMUdb_I4_D6300	V1_V9_ONT__EMU_EMUdb_I5_D6300	V1_V9_ONT__EMU_EMUdb_MN1_D6300	V1_V9_ONT__EMU_EMUdb_MN3_D6300	V1_V9_ONT__EMU_EMUdb_MN4_D6300	V1_V9_ONT__EMU_EMUdb_MN5_D6300	V1_V9_ONT__EMU_EMUdb_Q1_D6300	V1_V9_ONT__EMU_EMUdb_Q2_D6300	V1_V9_ONT__EMU_EMUdb_Q3_D6300	V1_V9_ONT__EMU_EMUdb_Q4_D6300	V1_V9_ONT__EMU_EMUdb_Q5_D6300	V1_V9_ONT__EMU_EMUdb_Z1_D6300	V1_V9_ONT__EMU_EMUdb_Z2_D6300	V1_V9_ONT__EMU_EMUdb_Z3_D6300	V1_V9_ONT__EMU_EMUdb_Z4_D6300	V1_V9_ONT__EMU_EMUdb_Z5_D6300	I_V1_V2_illumina_EMU_EMUdb_1_D6300	I_V1_V2_illumina_EMU_EMUdb_2_D6300	I_V1_V2_illumina_EMU_EMUdb_3_D6300	MN_V1_V2_illumina_EMU_EMUdb_1_D6300	MN_V1_V2_illumina_EMU_EMUdb_3_D6300	MN_V1_V2_illumina_EMU_EMUdb_4_D6300	Q_V1_V2_illumina_EMU_EMUdb_1_D6300	Q_V1_V2_illumina_EMU_EMUdb_2_D6300	Q_V1_V2_illumina_EMU_EMUdb_4_D6300	Z_V1_V2_illumina_EMU_EMUdb_1_D6300	Z_V1_V2_illumina_EMU_EMUdb_2_D6300	Z_V1_V2_illumina_EMU_EMUdb_3_D6300
Abiotrophia defectiva	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	16	17	0	0	0	0	0	0	0	0	0
Acutalibacter muris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	17	11	12	14	13	16	0	0	22	0	13
Alginatibacterium sediminis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	108	71	452	360	293	341	309	227	238	182	309
Alicyclobacillus contaminans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	14	0	0	0	10	0	0
Bacillus altitudinis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	11	12	17	23	22	20	18	0	17	0	19
Bacillus amyloliquefaciens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	1178	851	689	1177	1483	1651	1058	1872	601	1262	819	1403
Bacillus atrophaeus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1836	1697	1472	2114	3026	3314	2455	3755	1284	2783	1817	2885
Bacillus cereus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	25	21	33	43	24	37	32	12	51	22	22
Bacillus gibsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	42	31	59	66	94	80	82	35	71	48	74
Bacillus glycinifermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	38	41	60	67	82	62	92	25	52	41	63
Bacillus halotolerans	0	0	0	0	16	40	31	13	0	54	39	15	0	43	30	44	17	11	189	25	57	13	15	355	373	264	411	568	688	419	768	267	531	341	563
Bacillus licheniformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	52	40	58	85	83	71	107	51	93	62	86
Bacillus mesophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
Bacillus mojavensis	0	0	0	0	13	0	0	0	0	18	11	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus paralicheniformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	111	89	163	183	195	133	242	92	131	86	165
Bacillus siamensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	12	39	33	45	26	54	0	31	22	32
Bacillus sp. 275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	13	21	0	0	0	15
Bacillus sp. BH072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	39	31	63	59	62	48	85	23	51	40	53
Bacillus sp. BS34A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	44	36	63	90	92	60	106	39	72	52	88
Bacillus sp. DM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	29	33	38	61	62	49	82	25	53	40	77
Bacillus sp. FJAT-14266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	53	32	55	76	80	66	84	25	61	40	64
Bacillus sp. JS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	849	844	706	1041	1534	1674	1182	1913	665	1383	901	1517
Bacillus sp. KBS0812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	10	0	0	0	0	0	15
Bacillus sp. LM 4-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	13	14	20	32	32	14	40	15	17	0	23
Bacillus sp. Lzh-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	54	30	59	99	108	59	117	39	78	40	96
Bacillus sp. M4U3P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	55	40	56	79	95	60	103	38	83	54	74
Bacillus sp. MD-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249	223	184	286	383	484	334	515	189	365	256	405
Bacillus sp. Pc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
Bacillus sp. SDLI1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	19	14	34	46	42	31	46	15	48	19	31
Bacillus sp. SJ-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	36	29	44	53	50	29	72	21	55	23	47
Bacillus sp. WR11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	40	46	60	80	96	64	120	31	79	47	72
Bacillus sp. YP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	28	25	37	50	58	29	56	18	41	18	42
Bacillus sp. ZY-1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	13	0	15	22	14	19	31	0	23	0	26
Bacillus subtilis	1740000	1740000	1740000	1740000	17503	19890	20851	4422	4003	21626	30685	8201	4146	29722	15047	24992	5308	5606	28673	21763	38828	7070	6175	6839	6650	5604	7929	10905	12286	8668	13894	4717	10078	6556	10868
Bacillus thuringiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	639	459	544	762	848	727	1055	320	657	476	1033
Bacillus vallismortis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1019	1069	873	1213	1703	1912	1330	2187	702	1551	977	1691
Bacillus velezensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	2132	1823	1432	2214	2932	3234	2226	4009	1279	2603	1663	2894
Brevibacillus laterosporus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	54	30	49	83	49	59	74	45	73	42	62
Citrobacter amalonaticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	503	414	256	1606	1415	1274	1329	1347	860	981	594	1144
Citrobacter farmeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	43	22	119	121	98	121	91	85	94	55	91
Citrobacter freundii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12	0	20	18	0	0	14	0
Citrobacter freundii complex sp. CFNIH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	18	19	113	95	58	96	84	57	88	49	68
Citrobacter koseri	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	19	0	0	0	0	70	75	34	234	217	137	218	148	140	128	86	175
Citrobacter rodentium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	91	59	412	298	257	352	302	233	239	140	286
Citrobacter sedlakii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	44	45	216	183	170	151	162	102	140	64	171
Citrobacter sp. CFNIH10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	32	23	106	99	76	119	82	64	46	41	89
Citrobacter sp. NMI7904_11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	23	30	16	30	21	0	11	15	21
Clostridium botulinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	41	28	29	48	46	24	54	24	36	26	40
Cronobacter muytjensii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	26	26	28	27	21	16	12	0	23
Cronobacter sakazakii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	55	43	0	36	11	25	25	13	13
Enterobacter cloacae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	45	41	272	263	173	226	217	120	176	91	182
Enterobacter cloacae complex sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	14	0	0	12	0	0	0	0
Enterobacter hormaechei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	218	120	1064	875	593	732	721	532	483	391	467
Enterobacter kobei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	24	0	17	0	0	14	0	13
Enterobacter mori	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	13	0	44	25	20	21	28	23	34	19	0
Enterobacter roggenkampii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	10	0	15	0	0	0	0	0
Enterobacter sp. CRENT-193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	39	27	31	27	22	21	19	0	24
Enterococcus avium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
Enterococcus casseliflavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0	0	0	0
Enterococcus dispar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0	0	12	0
Enterococcus durans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	18	20	12	0	0	0	0	0	0	13	12
Enterococcus faecalis	990000	990000	990000	990000	10309	11160	11536	2899	2597	5046	7552	1094	583	1989	957	1363	265	366	9364	7371	4613	1712	1351	8377	8195	6703	3993	5781	3401	1308	2117	706	6924	4617	4355
Enterococcus faecium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	485	404	200	256	173	59	104	43	409	236	230
Enterococcus gallinarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	0	0	0	0	0	0
Enterococcus hirae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	19	19	12	0	0	0	0	0	18	0	0
Enterococcus mundtii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	21	0	0	0	0	0	0	13	0	0
Enterococcus saccharolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	26	25	11	10	0	0	0	0	19	14	11
Enterococcus sulfureus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	65	64	15	24	19	0	0	0	34	38	25
Erwinia sp. Ejp617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	14	14	45	52	31	66	50	50	37	32	55
Escherichia albertii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	181	78	769	664	441	645	767	461	558	308	423
Escherichia coli	1010000	1010000	1010000	1010000	11100	12356	12981	2594	2346	41344	35857	7638	9509	44639	31732	41407	7989	7390	29519	24415	34216	7563	7899	8459	6586	4035	27850	26015	20509	24936	21671	17062	18870	12536	17985
Escherichia fergusonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	94	46	355	351	261	305	320	214	216	161	264
Escherichia marmotae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	11	0	11	0	0	0	0	0
Escherichia sp. E4742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	43	36	28	28	45	24	22	15	25
Fictibacillus enclensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	11	21	12	15	16	0	16	11	16
Geobacillus thermoleovorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	134	134	142	194	246	158	311	93	169	112	247
Izhakiella capsodis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	12	0	41	42	25	41	46	27	24	13	28
Klebsiella oxytoca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	35	0	42	0	47	40	12	0
Klebsiella pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	436	252	1282	1361	990	1584	1126	982	967	674	1202
Klebsiella quasipneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	18	0	120	71	65	67	67	42	67	27	49
Klebsiella variicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	23	0	21	15	0	20	12	10
Kosakonia cowanii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	57	41	17	50	59	23	41	18	14
Kosakonia oryziphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	33	35	23	30	12	11	14	11
Kosakonia sp. CCTCC M2018092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	20	18	14	14	0	0	12	0	0
Laceyella sacchari	0	0	0	0	196	189	209	63	46	258	250	78	72	238	170	237	61	63	217	206	239	48	72	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus gastricus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus mucosae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	35	29	20	0	0	0	0	0	21	0	0
Lelliottia amnigena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	842	969	607	3067	3070	3247	2934	3207	2067	2112	1599	2728
Limosilactobacillus fermentum	1840000	1840000	1840000	1840000	16038	16476	17195	4209	4316	4952	4967	670	498	1328	634	797	253	258	9911	7294	5807	829	600	18582	22942	18013	6447	6176	4166	1406	3559	727	12132	7010	4344
Listeria grayi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	16	0	0	0	0	0	0	0	0	0
Listeria innocua	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	238	196	62	66	53	25	31	0	110	58	89
Listeria ivanovii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	305	232	186	74	74	60	20	45	0	120	74	76
Listeria marthii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
Listeria monocytogenes	1410000	1410000	1410000	1410000	15908	18403	18665	4458	3919	4197	6093	927	510	2044	998	1377	336	389	10030	7501	3862	1075	1409	12462	13299	11298	3196	4528	3228	1259	2307	628	7160	4435	5316
Listeria riparia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	14	0	0	0	0	14	11	0
Listeria rocourtiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	34	14	12	17	0	0	0	0	22	16	13
Listeria seeligeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494	344	312	129	140	86	50	62	23	210	90	144
Listeria weihenstephanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	18	0	0	0	0	0	0	0	0	0
Listeria welshimeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	300	268	92	110	76	33	58	20	192	113	150
Lysinibacillus sphaericus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	19	16	19	26	24	0	25	0	21	14	19
Mesobacillus persicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	31	47	52	65	46	68	57	27	76	34	72
Metabacillus litoralis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
Metakosakonia massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	113	56	386	398	321	310	317	205	230	149	243
Mixta gaviniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	31	18	93	86	109	61	105	45	58	47	83
Natribacillus halophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	15	0	39	31	34	14	42	14	19	11	21
Pantoea agglomerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0
Pantoea vagans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	48	13	49	21	30	20	27	11
Parageobacillus thermoglucosidasius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	39	26	29	20	22	0	18	19	16
Pectobacterium carotovorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	10	50	65	38	87	80	53	58	37	70
Pectobacterium wasabiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	16	0	12	11	12	0	0	0
Photobacterium damselae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	22	17	22	26	19	15	13	0	0
Pluralibacter gergoviae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	18	12	14	16	0	10
Pragia fontium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	37	0	24	0	13	23	17	0
Pseudomonas aeruginosa	420000	420000	420000	420000	929	882	870	204	181	8148	3374	891	1683	3286	2780	3803	751	439	1390	1146	2318	538	494	779	2983	1575	6699	3089	8836	2410	11453	2259	1142	784	7657
Pseudomonas knackmussii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	20	0	15	0	0	0	11
Pseudomonas koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	30	0	22	0	0	0	13
Pseudomonas kribbensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	18	0	24	0	0	0	19
Pseudomonas mendocina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	17	0	0	0	0
Pseudomonas nitroreducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	13	0	0	0	0
Pseudomonas oleovorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	23	32	0	43	0	0	0	29
Pseudomonas sp. AK6U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	103	53	223	106	292	81	388	62	42	12	236
Pseudomonas stutzeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	22	0	41	0	0	0	21
Pseudomonas synxantha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
Rahnella aquatilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	13	19	0	11	13	0	21
Salmonella bongori	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	68	25	321	308	194	264	200	192	214	133	143
Salmonella enterica	1040000	1040000	1040000	1040000	10248	11399	12003	2538	2191	37175	31848	6721	8323	39966	27811	37098	7170	6851	26224	21522	30285	6823	6987	7903	7504	4533	26220	25068	21109	25258	22146	17192	18443	12683	19429
Salmonella sp. SSDFZ54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	45	20	133	111	137	135	116	110	81	64	101
Salmonella sp. SSDFZ69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	78	66	61	70	54	44	57	29	45
Segniliparus rotundus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	12	0	0	0	0	14	0	10
Serratia odorifera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	32	39	21	42	30	21	24	0	16
Serratia symbiotica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	15	0	15	0	0	12	0	10
Shigella boydii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	212	142	945	869	663	869	729	557	681	384	668
Shigella dysenteriae	0	0	0	0	136	193	193	63	44	377	442	104	117	495	329	458	86	118	289	320	395	136	148	380	313	189	1362	1258	1044	1255	1110	854	987	580	913
Shigella flexneri	0	0	0	0	0	0	0	0	0	78	31	0	0	29	0	0	28	10	123	13	17	0	0	440	359	237	1609	1447	1129	1410	1193	985	1023	669	1046
Shigella sonnei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	391	305	167	1302	1086	915	1071	953	755	794	506	759
Shigella sp. PAMC 28760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	28	11	93	88	73	99	97	81	73	51	76
Staphylococcus argenteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	236	155	91	99	64	0	10	0	41	31	32
Staphylococcus aureus	1550000	1550000	1550000	1550000	16388	17625	17945	4383	3855	6178	8405	1256	586	819	439	578	145	145	2810	2486	1528	282	277	14660	15837	12214	6160	8205	5030	1044	2262	655	2882	2228	2030
Staphylococcus epidermidis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	29	17	11	20	0	0	0	0	0	0	0
Staphylococcus lugdunensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	14	0	0	0	0	0	0	0	0	0	0
Staphylococcus schleiferi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	24	21	37	26	18	0	14	0	0	0	0
Staphylococcus schweitzeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	106	64	56	80	44	0	0	0	20	0	0
Staphylococcus sciuri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	15	17	15	0	16	0	0	0	0	0	0
Staphylococcus simiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	45	35	21	13	11	0	0	0	0	0	0
Staphylococcus simulans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
Weissella confusa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	317	209	106	91	49	17	53	11	179	76	55
Weissella koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	10	0	0	0	0	0	0	0	0	0	0
Weissella soli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	17	0	0	0	0	0	0	0	0	0	0
