order	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z5_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300
Alteromonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	14	20	2	48	37	23	33	26	29	32	21	24
Bacillales	4700000	4700000	4700000	4700000	49326	55416	56893	31135	44074	31280	15852	25965	40800	31044	42832	13184	11682	10082	5072	5549	5858	8215	7635	45198	46401	37751	27776	38528	36599	22163	36666	11848	34136	21983	33082
Bacteroidales	0	0	0	0	31	42	49	22	28	31	25	45	36	29	39	8	6	12	8	7	8	11	11	1	0	0	0	1	0	0	1	0	0	0	0
Burkholderiales	0	0	0	0	4	0	1	4	7	10	3	3	8	1	1	1	2	0	0	1	1	1	0	129	105	66	381	318	265	328	365	237	242	124	258
Corynebacteriales	0	0	0	0	2	4	3	4	3	3	2	3	4	2	3	1	1	0	0	1	0	0	0	19	14	9	11	14	17	13	23	3	17	6	19
Enterobacterales	2050000	2050000	2050000	2050000	21460	23907	25168	78795	67986	84605	59586	78699	56354	46152	64740	5202	4571	14453	17907	15252	14357	14498	15003	21611	19079	11466	74006	69104	56009	67809	59736	45732	49935	33449	50901
Hyphomicrobiales	0	0	0	0	2	5	5	10	11	4	8	5	23	4	9	0	0	0	0	2	3	1	2	22	31	24	11	20	6	2	5	1	6	5	8
Lactobacillales	2830000	2830000	2830000	2830000	25972	27198	28300	9741	12206	3232	1562	2099	18492	14393	10273	6962	6815	1712	1058	498	611	2456	1899	26839	31174	24642	10248	11495	7277	2599	5557	1382	18823	11270	8397
Micrococcales	0	0	0	0	3	7	3	7	7	11	0	6	6	8	6	1	0	3	1	3	1	1	0	13	48	18	102	51	128	37	191	38	13	12	117
Micromonosporales	0	0	0	0	3	3	3	0	4	3	1	1	1	2	2	0	0	0	2	0	0	1	2	7	3	1	12	6	3	5	7	5	4	5	6
Moraxellales	0	0	0	0	0	2	1	2	3	1	0	2	16	1	1	0	0	0	1	0	0	0	0	767	823	618	364	566	310	118	201	57	681	446	419
Pasteurellales	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	4	13	14	10	12	11	6	4	9	12
Propionibacteriales	0	0	0	0	150	165	139	67	75	7	6	5	19	23	13	38	31	12	3	1	1	2	4	170	204	153	80	117	66	12	17	2	33	19	28
Pseudanabaenales	0	0	0	0	180	175	177	629	533	853	495	536	463	349	495	42	40	93	120	114	92	76	104	0	0	0	0	1	1	0	0	0	0	0	1
Pseudomonadales	420000	420000	420000	420000	1594	1621	1676	8945	4554	4499	3359	4741	2496	2014	3674	369	335	1211	1840	969	703	814	750	822	3019	1575	6992	3269	9134	2504	11726	2278	1232	812	7654
Rhodospirillales	0	0	0	0	1	1	2	6	2	3	2	3	0	0	3	0	2	1	1	1	0	3	0	16	62	28	112	66	177	44	242	45	19	13	174
Sphingomonadales	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	13	9	5	41	30	35	30	24	16	22	19	23
Streptomycetales	0	0	0	0	5	11	3	8	6	6	3	4	12	0	8	4	1	1	0	1	0	4	1	41	149	88	320	134	423	128	493	109	71	49	413
unclassified	0	0	0	0	0	0	0	0	0	2	1	2	3	0	0	1	0	0	2	1	0	0	0	31	31	8	28	25	36	18	22	15	19	13	24
Vibrionales	0	0	0	0	0	3	1	3	3	0	0	1	1	1	2	2	0	0	1	0	0	0	0	6	8	5	20	13	16	6	12	6	8	6	6
